Model,Dataset,Accuracy,ROC-AUC,F1 Score,Precision,Recall,MAE,MSE,R2
SVM,Training,0.7684426229508197,0.953415940415403,0.7627347795841862,0.7722887524566734,0.7684426229508197,0.4139344262295082,0.9754098360655737,0.8142076502732241
SVM,Testing,0.39166666666666666,0.7732539682539683,0.38588104140429724,0.39596861471861466,0.39166666666666666,1.175,3.025,0.42380952380952386
SVM,CV Training,0.6823770491803278,0.9157004645448612,0.6692135554634714,0.6999391580641581,0.6911142676767676,-0.559438775510204,-1.2974489795918367,0.7411203861981216
SVM,CV Testing,0.8416666666666667,0.9539682539682539,0.7531632653061224,0.7642857142857142,0.7731845238095238,-0.3,-0.85,0.7640428364571126
Logistic Regression,Training,0.6454918032786885,0.9243530924866588,0.6416162091217184,0.6448697770910459,0.6454918032786885,0.5942622950819673,1.278688524590164,0.7564402810304449
Logistic Regression,Testing,0.44166666666666665,0.8077777777777778,0.44595694216383874,0.4708447802197802,0.44166666666666665,1.075,2.9583333333333335,0.4365079365079365
Logistic Regression,CV Training,0.5942622950819673,0.8956549698621723,0.5801190174419665,0.6054743867243866,0.5968479437229437,-0.6888180272108844,-1.510076530612245,0.6996046449282105
Logistic Regression,CV Testing,0.8333333333333334,0.9516666666666667,0.7457142857142857,0.7580357142857143,0.7664880952380952,-0.325,-0.9083333333333334,0.7626829839913701
Random Forest,Training,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Random Forest,Testing,0.6,0.8450396825396825,0.571032981198516,0.5568161231884058,0.6,0.8333333333333334,2.2333333333333334,0.5746031746031746
Random Forest,CV Training,0.8668032786885246,0.9759905171420893,0.8641628841145096,0.8843632756132758,0.8677728174603174,-0.26424319727891155,-0.7103316326530612,0.8583768438988297
Random Forest,CV Testing,0.875,0.9826190476190477,0.8217913832199546,0.8375,0.8301785714285714,-0.25,-0.6333333333333334,0.8346474799630222
Gradient Boosting,Training,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Gradient Boosting,Testing,0.6583333333333333,0.8564285714285714,0.6248367129946077,0.657516339869281,0.6583333333333333,0.8583333333333333,2.575,0.5095238095238095
Gradient Boosting,CV Training,0.8073770491803278,0.9555898951894651,0.805110470777073,0.8265710678210677,0.8125532106782106,-0.40153061224489794,-1.1229591836734694,0.7802575034872279
Gradient Boosting,CV Testing,0.875,0.9868253968253968,0.8217898715041573,0.8405753968253968,0.8423214285714286,-0.2666666666666666,-0.6666666666666666,0.8393783129698906
Decision Tree,Training,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Decision Tree,Testing,0.39166666666666666,0.6523809523809524,0.3669782216657217,0.3479315210932858,0.39166666666666666,1.0083333333333333,2.1416666666666666,0.5920634920634921
Decision Tree,CV Training,0.7049180327868853,0.8313817330210773,0.6846632014356473,0.7028012959262959,0.7009650072150072,-0.6021258503401361,-1.6295068027210884,0.6737752459698352
Decision Tree,CV Testing,0.7833333333333333,0.8761904761904762,0.7043924792139078,0.7218253968253967,0.7274702380952381,-0.45833333333333337,-1.2583333333333333,0.6943724470591913
